par_state,par_county,kid_race,par_pctile,shrunk_xkid_delinq90_02020,county_name
1,1,Hispanic,50,.5645,Autauga
1,1,Pooled,-9,.5042320109439125,Autauga
1,1,White,75,.3477,Autauga
1,1,Black,50,.71185,Autauga
1,1,AIAN,75,.4988,Autauga
1,1,AIAN,25,.7081,Autauga
1,1,White,25,.6054,Autauga
1,1,White,50,.47655,Autauga
1,1,AIAN,-9,.6034499999999999,Autauga
1,1,Pooled,75,.3646765765765766,Autauga
1,1,Pooled,50,.5136036167554416,Autauga
1,1,Hispanic,75,.3993,Autauga
1,1,Pooled,25,.6625306569343066,Autauga
1,1,Asian,75,.3255,Autauga
1,1,Asian,-9,.42415,Autauga
1,1,Black,-9,.7622161290322581,Autauga
1,1,White,-9,.4476698275862069,Autauga
1,1,AIAN,50,.60345,Autauga
1,1,Black,25,.7862,Autauga
1,1,Asian,25,.5228,Autauga
1,1,Hispanic,-9,.5645,Autauga
1,1,Asian,50,.42415,Autauga
1,1,Black,75,.6375,Autauga
1,1,Hispanic,25,.7297,Autauga
1,3,Pooled,25,.5964762863534676,Baldwin
1,3,Hispanic,25,.5503,Baldwin
1,3,Pooled,-9,.4710993396918562,Baldwin
1,3,Black,25,.7951,Baldwin
1,3,AIAN,-9,.61405,Baldwin
1,3,Hispanic,-9,.5026346153846154,Baldwin
1,3,Pooled,75,.349705487364621,Baldwin
1,3,Black,75,.6747,Baldwin
1,3,Black,-9,.7756565217391305,Baldwin
1,3,White,25,.5465,Baldwin
1,3,Asian,50,.3396,Baldwin
1,3,AIAN,25,.6625,Baldwin
1,3,Hispanic,75,.4045,Baldwin
1,3,Asian,75,.2783,Baldwin
1,3,White,-9,.4280431034482759,Baldwin
1,3,Black,50,.7349,Baldwin
1,3,Asian,-9,.3396,Baldwin
1,3,AIAN,75,.5656,Baldwin
1,3,Pooled,50,.4730908868590443,Baldwin
1,3,Hispanic,50,.4774,Baldwin
1,3,White,75,.3351,Baldwin
1,3,White,50,.4408,Baldwin
1,3,AIAN,50,.61405,Baldwin
1,3,Asian,25,.4009,Baldwin
1,5,White,25,.5409,Barbour
1,5,Black,-9,.7636763157894737,Barbour
1,5,White,75,.3239,Barbour
1,5,Black,25,.7793,Barbour
1,5,Hispanic,-9,.5620499999999999,Barbour
