Institution,Enrollment,Carnegie_Profile,Pell_Grant_Rate,International_Rate,Endowment,Tuition_Revenue_per_FTE,Reference_Group
Harbor University 001,16090,Research University,0.2903,0.2067,3561816414,30878,False
Redwood College 002,4690,Medium Residential,0.3257,0.0944,758370610,20828,True
Evergreen College 003,2144,Small Residential,0.17,0.1106,148175173,46491,False
Harbor Liberal Arts College 004,15368,Research University,0.2846,0.148,774529090,29116,False
Ridgeline Technical University 005,7017,Commuter Four-Year,0.3902,0.0143,49666519,11383,False
Fairmont University 006,13064,Large Residential,0.5264,0.04,320016586,20058,False
Northlake University 007,10461,Large Residential,0.3672,0.0341,367262758,26879,False
Westbridge College 008,10931,Commuter Four-Year,0.4852,0.0491,58382472,13056,False
Northlake Technical University 009,1942,Special Focus,0.2722,0.013,76523302,32637,False
Westbridge Liberal Arts College 010,6385,Commuter Four-Year,0.6723,0.0936,81522458,14547,False
Fairmont College 011,1362,Small Residential,0.182,0.019,90399821,27021,False
Oak Valley Technical University 012,11441,Large Residential,0.3457,0.0837,71211034,15573,False
Redwood University 013,1658,Small Residential,0.3342,0.0233,1169139000,31123,False
Prairie Liberal Arts College 014,5490,Medium Residential,0.2337,0.1065,314614232,31579,False
Fairmont Institute 015,4498,Medium Residential,0.313,0.0154,920424379,25212,False
Redwood College 016,6717,Large Residential,0.233,0.1994,865652499,16236,False
Westbridge Institute 017,4682,Commuter Four-Year,0.471,0.1491,62420694,9548,False
Harbor University 018,14791,Commuter Four-Year,0.3101,0.0581,47585708,12804,False
Alta University 019,13874,Research University,0.5009,0.1333,1967097127,19478,False
Brookhaven Institute 020,9575,Large Residential,0.6584,0.34,129560599,10195,False
Redwood University 021,16392,Research University,0.3421,0.1107,3050192978,22415,False
Oak Valley Technical University 022,8690,Commuter Four-Year,0.3278,0.2949,83459038,15082,True
Harbor State University 023,4551,Medium Residential,0.4983,0.1512,989263722,19600,False
Ridgeline Technical University 024,7104,Commuter Four-Year,0.6776,0.1221,66387342,13034,False
Stonefield Liberal Arts College 025,6861,Medium Residential,0.3208,0.1504,749003198,16229,False
